"d13C","d15N","individual","group"
-19.1272128081818,8.42865712718182,"S19-8741","Merced"
-21.9365861561538,7.79288341384615,"S19-8742","Unknown"
-19.7063999775,7.650886669625,"S19-8743","McLaren"
-17.8261652854545,8.05096376936364,"S19-8744","Coit"
-19.474304477,7.97017411125,"S19-8745","Unknown"
-20.9856918178947,9.27546143389474,"S19-8746","Unknown"
-18.242756882,8.291804418,"S19-8747","Coit"
-22.51743376125,7.20182497225,"S19-8748","Presidio"
-18.6807417826667,8.48265215346667,"S19-8749","Merced"
-21.1053846153846,9.82538461538462,"S19-8750","Merced"
-18.51,7.75272727272727,"S19-8751","Merced"
-20.5785714285714,8.685,"S19-8752","GGP - West"
-19.2175,8.63375,"S19-8753","GGP - West"
-18.385,8.65,"S19-8754","Coit"
-19.5959090909091,7.77636363636364,"S19-8755","Presidio"
-16.7245,8.768,"S19-8756","Unknown"
-19.432,7.1564,"S19-8757","GGP - West"
-19.2646153846154,7.75307692307692,"S19-8758","GGP - West"
-20.5033333333333,7.80055555555556,"S19-8759","Unknown"
-18.7680769230769,7.66692307692308,"S19-8760","Unknown"
-20.5242857142857,8.21428571428571,"S19-8761","GGP - West"
-18.307,8.036,"S19-8762","Merced"
-21.695,9.515,"S19-8763","GGP - West"
-21.4633333333333,8.06666666666667,"S19-8764","McLaren"
-19.236637856,8.96887975386667,"S19-8765","McLaren"
-18.2856697421429,9.90165606321429,"S19-8767","Unknown"
-18.084543540625,8.39602857075,"S19-8768","Merced"
-19.3738461538462,8.25461538461538,"S19-8769","Unknown"
-19.235,8.55,"S19-8771","McLaren"
-20.072,7.74066666666667,"S19-8772","Presidio"
-18.492828466,7.3683872784,"S19-8773","Presidio"
-21.3035957278571,8.4421550965,"S19-8774-W2","Presidio"
-19.7628571428571,8.17142857142857,"S19-8775","Presidio"
-21.28142695625,8.6049545955,"S19-8775-2","Unknown"
-20.98,8.65583333333333,"S19-8776","Presidio"
-22.0754937982353,7.18410117135294,"S19-8777-2","Presidio"
-20.4211111111111,9.04666666666667,"S19-8778","Presidio"
-21.4044444444444,7.67388888888889,"S19-8779","Presidio"
-21.1914285714286,7.91142857142857,"S19-8780","Presidio"
-21.3944444444444,7.89333333333333,"S19-8781","Presidio"
-19.7346153846154,8.12846153846154,"S19-8782","Presidio"
-20.6000085411111,8.44864350477778,"S19-8783","Presidio"
-19.515,8.4575,"S19-8784","Presidio"
-20.3326666666667,8.152,"S19-8785","Presidio"
-18.3045454545455,9.21454545454545,"S19-8786","Unknown"
-20.3662419858333,8.36893358191667,"S19-8786-2","Presidio"
-21.0216666666667,8.125,"S19-8787","Presidio"
-18.74125,8.205625,"S21-1079","Unknown"
-17.0338888888889,8.02666666666667,"S21-1081","Unknown"
-16.8588888888889,8.19111111111111,"S21-1082","St. Francis"
-19.6293333333333,7.35933333333333,"S21-1083","McLaren"
-17.626875,8.28125,"S21-1085","Glen"
-18.5955555555556,8.13833333333333,"S21-1086","Glen"
-19.8183333333333,8.03222222222222,"S21-1087","Unknown"
-19.7136363636364,8.66545454545455,"S21-1088","Unknown"
-18.91,7.8965,"S21-1089","Merced"
-21.06125,9.1275,"S21-1201","Unknown"
-19.4666666666667,7.66285714285714,"S21-1202","GGP - West"
-17.9855555555556,8.84166666666667,"S21-1203","Unknown"
-18.7565,9.075,"S21-1204","Presidio"
-20.5294117647059,8.31294117647059,"S21-1205","Unknown"
-16.842,7.92433333333333,"S21-1206","Coit"
-20.6212,8.97,"S21-1207","Presidio"
-18.6947896075,8.277971378375,"S21-3427","GGP - East"
-17.5279801542857,7.16388243628571,"S21-3429","GGP - East"
-16.6131019363636,7.88913682445455,"S21-3430","St. Francis"
-21.1488913527273,8.92404546781818,"S21-3431","Unknown"
-17.9310969872727,7.40171265763636,"S22-0871","St. Francis"
-18.392312434375,8.6330600659375,"S22-0873","Glen"
-17.97625,7.70125,"S22-0874","Unknown"
-18.098244335,7.537799007625,"S22-0875","Unknown"
-16.3494867904348,7.69139293769565,"S22-0876","Unknown"
-18.7348208546667,8.1860182438,"S22-0877","Merced"
-21.005,7.9325,"S22-0881","GGP - West"
-20.0765500458824,8.02710834417647,"S22-0882","Unknown"
-18.5759979409091,8.40230831836364,"S22-0883","Unknown"
-21.253376665,8.7025658305,"S22-0884","Presidio"
-18.0494320707692,7.74449264092308,"S22-0885","Unknown"
-17.8875,7.11125,"S22-0886","Unknown"
-19.3272727272727,7.69818181818182,"S22-0887","Merced"
-16.81125,8.029375,"S22-0888","Bernal"
-17.77875,7.164375,"S22-0889-B","Bernal"
-18.6009523809524,8.74571428571429,"S22-1017","Unknown"
-16.5215,7.422,"S22-3045","St. Francis"
-16.879375,6.800625,"S22-3046","GGP - East"
-19.8325,7.92125,"S22-3047","McLaren"
-19.349371041875,7.909692032375,"S23-0157","Presidio"
-18.565,7.8825,"S23-0159","Unknown"
-17.1214814814815,7.19407407407407,"S23-0160","Unknown"
-18.1681818181818,7.96090909090909,"S23-0161","Unknown"
-21.4795454545455,8.56863636363636,"S23-0162","Bernal"
-17.3546153846154,7.88538461538462,"S23-0163","Corona Heights"
-16.4288235294118,7.88941176470588,"S23-0164","Unknown"
-19.9654545454545,8.22363636363636,"S23-0165","Glen"
-15.735,8.415,"S23-2156","Corona Heights"
-18.714933371875,6.9445765118125,"S24-1424","GGP - East"
-18.46505776125,7.03023039975,"S24-1425","GGP - East"
